created_at,Text,full_text
Wed Feb 26 09:06:01 +0000 2025,,Susu dari Makan Siang Bergizi *gratis https://t.co/qesLYRsikH
Wed Feb 26 08:05:07 +0000 2025,,adain petisi biar dia aja yang dijadiin makan siang bergizi gratis buat satwa liar please.
Wed Feb 26 07:49:17 +0000 2025,,@liaasister Paling juga buat nutupi biaya makan siang bergizi gratis.
Wed Feb 26 06:28:03 +0000 2025,,mana sini ak pen liat makan siang bergizi yg egk gratis klen ituh...
Wed Feb 26 06:27:28 +0000 2025,,Bukan Makan Siang Bergizi Gratis Papua Lebih Butuh Akses Pendidikan. ~SA #MBG #AksesPendidikan https://t.co/qSUTfTHTYM
Wed Feb 26 05:20:19 +0000 2025,,@postmaljone lebih bergizi aku apa makan siang gratis?
Wed Feb 26 04:56:07 +0000 2025,,Robot AI. dicoba lawan menggunakan program makan siang kurang bergizi gratis. Sedihnya rata rata umur penduduk indonesia 72 39 Bapak ber dukun kemana ini prediksi 2050.
Wed Feb 26 04:45:56 +0000 2025,,Komisi IX DPR RI : Kawal Program Makan Siang Bergizi Gratis - TVR 120 https://t.co/SLXieoOAxd
Wed Feb 26 03:32:16 +0000 2025,,gak perlu jadi presiden buat ngasih makan siang gratis enak dan bergizi trims fkui https://t.co/LPpyS4wT0y
Wed Feb 26 03:30:39 +0000 2025,,[BREAKING FOOD] Hai Sobat Minfood! Kalian tau nggak sih kalau belalang akan dijadikan menu makan siang gratis menurut berita yang beredar akhir-akhir ini? Memang beneran ya? Lalu apakah aman menjadikan belalang sebagai alternatif protein di menu makan siang bergizi gratis? https://t.co/ddwlrsxfOM
Wed Feb 26 03:24:22 +0000 2025,,PAPUA Program Makan Siang Bergizi Gratis yang dicanangkan oleh pemerintah pusat mendapat sambutan luar biasa dari masyarakat di berbagai wilayah Papua. Inisiatif ini menjadi angin segar bagi anak-anak orang tua dan para tokoh masyarakat yang kini melihat harapan baru dalam https://t.co/w2VVP3svEH
Wed Feb 26 00:53:09 +0000 2025,,@narkosun makan siang bergizi gratis keracunan
Tue Feb 25 16:00:58 +0000 2025,,Lanud Haluoleo dan Kadin Sultra Salurkan Makan Siang Bergizi Gratis di Konsel https://t.co/Kozm3YFwYg
Tue Feb 25 15:56:04 +0000 2025,,@detikcom Gimana di kasih menu kaya Makan siang Bergizi Gratis ga jijik lagi pasti langsung muntah .
Tue Feb 25 15:54:49 +0000 2025,,They said inikan makan siang bergizi gratis bukan makan siang enak gratis. Bergizi.... BERGIZI? B-E-R-G-I-Z-I???!!!!
Tue Feb 25 15:03:01 +0000 2025,,Yah yah yah... Tenang kawan masih gelap. Belum gulita; berkesenian (agaknya mulai) dilarang makan siang gratis (yang katanya BERGIZI!) tapi kok mending bayar di warteg; sekarang bensin pun setaraf alkohol pula bisa dioplos.
Tue Feb 25 14:07:20 +0000 2025,,Sama bang saya juga pantang menghina makanan. Tapi kalo dilihat dari namanya jelas jelas itu namanya Makanan BERGIZI Gratis bukan makan siang gratis. Kalo dilihat ini gizinya manaaa Ya Tuhaaannn 
Tue Feb 25 13:29:29 +0000 2025,,innalillahi wainna ilaihi rojiun telah berpulang makan siang (tidak) bergizi gratis
Tue Feb 25 12:27:37 +0000 2025,,@andre_gnc @nasidaruratJogj Setuju sama halnya kenapa makan siang gratis/bergizi itu program pemborosan yang tidak menyelesaikan akar permasalahannya. I mean program makan gratis untuk yang urgent sebaiknya tetap ada tapi ya untuk yang tepat sasaran saja (seperti ini) bukan malah menciptakan sejenis MBG.
Tue Feb 25 11:48:14 +0000 2025,,Masih bergizi makan siang gratis di masjid deket kantor
Tue Feb 25 11:44:04 +0000 2025,,Gue malah lebih setuju namanya diganti jadi MSG : makan siang gratis. Karena kalau mau disebut bergizi dalam satu piring harus memenuhi kebutuhan gizi perorang sesuai umur. (Continue)
Tue Feb 25 11:42:38 +0000 2025,,Lanud Haluoleo Bersama Kadin Sultra Salurkan Makan Siang Bergizi Gratis di Dua SD https://t.co/t5oGKUzFKJ
Tue Feb 25 10:48:37 +0000 2025,,Makan siang bergizi gratis .. https://t.co/fvmxiIJxSF
Tue Feb 25 03:22:50 +0000 2025,,Babinsa Koramil 01/Laratama Dampingi Pendistribusian Makan Siang Bergizi Gratis Di Wilayah Binaan https://t.co/ogHB8xkzjf
Tue Feb 25 01:14:11 +0000 2025,,Anak anak Papua atau anak anak dimana saja kalau mereka pintar mereka bisa memilili pekerjaan yang baik atau memperkerjakan orang2 dan bisa memberii makan keluarga mereka semua. Bukan hanya makan siang yg katanya bergizi gratis. Nanti aja once Indonesia adh menjadi negara
Mon Feb 24 17:01:54 +0000 2025,,@ReymundMark2000 @idextratime @lauriewhitwell Wkwk collab makan siang bergizi gratis
Mon Feb 24 17:01:00 +0000 2025,,@itsmarstal @idextratime @lauriewhitwell Mau didaftarin ikut makan siang bergizi gratis
Mon Feb 24 14:30:48 +0000 2025,,@kemgelapan Sarapan pagi gratis sama makan malam gratis buat anak sekolah ini terisnpirasi makan siang gratis bergizi sekarang
Mon Feb 24 13:29:44 +0000 2025,,@el_utara @prabowo lihatlah rakyatmu di Papua mereka lebih memilih pendidikan gratis daripada makan siang gratis.Makan Siang Bergizi biar jadi urusan Ibu Ibu /emak emaknya saja yg penting suami dari IBu 2 itu di kasih kerjaan yg layak Insya Allah bisa memberikan makanan bergizi lebih baik.
Mon Feb 24 13:29:11 +0000 2025,,@AsahPolaPikir Kasih makan siang bergizi gratis
Mon Feb 24 12:32:08 +0000 2025,,@AsahPolaPikir Kasih makan gratis bergizi hanya siang hari. Sudah cukup kan?
Mon Feb 24 12:22:35 +0000 2025,,Segitu dibelax makan siang gratis knp tetap dipertahankn ada udang dibalik rempeyek sprti nya Makan Bergizi Gratis Tetap Ada saat Ramadhan Bisa Dibawa Pulang untuk Buka Puasa https://t.co/P6PAim0krW
Mon Feb 24 12:10:58 +0000 2025,,@AsahPolaPikir Yang jelas gak cuma kasih makan siang bergizi gratis pak 
Mon Feb 24 11:26:38 +0000 2025,,Program Makan Bergizi Gratis (MBG) di Demak resmi diluncurkan pada Senin 24/02/2025 siang. Sebanyak 3.381 porsi MBG disediakan oleh Satuan Pelayanan Pemenuhan Gizi (SPPG) Rizky Barokah untuk para siswa di Desa Mlekang Kecamatan Gajah dan sekitarnya. https://t.co/7tIZB4uGRR
Mon Feb 24 11:02:17 +0000 2025,,Bukan memberi makan siang bergizi gratis pada anaknya yang sekolah tapi malamnya orang tuanya tidak bisa memberi makan malam keluarganya karena kehilangan pekerjaan.
Mon Feb 24 09:54:05 +0000 2025,,@kemgelapan Makan bergizi gratis mulai dari pagi siang malem untuk semua masyarakat yg menengah kebawah dengan menu dan porsi yg proper
Mon Feb 24 08:34:38 +0000 2025,,INI YANG SALAH SIAPA?? NUNGGU MAKAN SIANG BERGIZI GRATIS DR SIANG YANG KATANYA JAM 12 TERNYATA TIBA TIBA ADA KENDALA JADINYA DIUNDUR JAM 1 EH MASIH BELOM DATENG JUGA. TERNYATA NYAMPE JAM SETENGAH TIGA ITU DISURUH NGANTRI PER KELAS TERNYATA HARUS KELAS 10 DULU DAN SEBELNYA
Mon Feb 24 05:45:37 +0000 2025,,@tekarok007 @kegblgnunfaedh Aduhh otak di pke itu program makan siang bergizi gratis Program yg buat oleh @prabowo .TDK tertuang dalam UUD 45. Kocak lu. 
